id,rating,target,english,primary_issue,proposed_target
hi-2304,5,चने की फ़सल रबी मौसम में बोई जाती है।,Chickpea sown in rabi season.,रबी agronomic — सर्दी,
hi-2318,5,प्रातःकाल टहलने से ताज़गी मिलती है।,Morning walk refreshes.,प्रातःकाल literary — सुबह,सुबह टहलने से फ्रेशनेस मिलती है।
hi-2383,5,पद्य लयबद्ध और छंदोबद्ध होता है।,Poetry is rhythmic.,all literary Sanskrit,
hi-2384,5,चिकारा एक तार वाला वाद्य है।,Chikara is stringed instrument.,वाद्य formal — साज़,
hi-2389,5,जूट उद्योग बंगाल का प्रमुख व्यवसाय है।,Jute industry Bengal's business.,उद्योग + व्यवसाय formal,
hi-2393,5,पाठ्यक्रम में व्याकरण और साहित्य दोनों शामिल हैं।,Curriculum includes grammar and literature.,पाठ्यक्रम formal — सिलेबस,
hi-2413,5,जलविद्युत परियोजना से बिजली बनती है।,Hydroelectric project generates electricity.,जलविद्युत + परियोजना formal,
hi-2467,5,चरागाह में गाय-भैंस चर रही थीं।,Cows grazing in pasture.,चरागाह textbook,
hi-2509,5,चाणक्य नीति में राजनीति के सूत्र हैं।,Chanakya Niti has politics principles.,सूत्र textbook — सिद्धांत,
hi-2511,5,पाँव छूना बड़ों के प्रति सम्मान दर्शाता है।,Touching feet shows respect.,प्रति + दर्शाता है formal,
hi-2513,5,ऊन की बुनाई शीतकाल में शुरू होती है।,Wool knitting in winter.,शीतकाल formal Sanskrit — सर्दियों में,ऊन की बुनाई सर्दियों में शुरू होती है।
hi-2530,5,मुद्रास्फीति से वस्तुओं के दाम बढ़ते हैं।,Inflation increases prices.,वस्तुओं formal — चीज़ों के,
hi-2536,5,संदूक का ताला ज़ंग से जाम हो गया।,Trunk lock jammed.,संदूक formal — बॉक्स,
hi-2537,5,चुनाव में मतदान करना नागरिक का कर्तव्य है।,Voting is citizen's duty.,कर्तव्य textbook — फर्ज़,चुनाव में वोट देना हर नागरिक का फर्ज़ है।
hi-2548,5,अध्यापक ने पूछा कि होमवर्क किसने किया।,Teacher asked who did homework.,अध्यापक formal — टीचर,
hi-2569,5,डाकिये ने रजिस्टर्ड चिट्ठी दरवाज़े पर दी।,Postman delivered letter.,चिट्ठी old-fashioned — पत्र/लेटर,
hi-2594,5,न्यायाधीश ने मुक़दमे का फ़ैसला सुनाया।,Judge pronounced verdict.,न्यायाधीश formal — जज,जज ने मुक़दमे का फ़ैसला सुनाया।
hi-2599,5,हथकरघा उद्योग गाँवों में रोज़गार देता है।,Handloom industry provides employment.,उद्योग textbook,
hi-2611,5,रूपक अलंकार में उपमा को सीधे लागू करते हैं।,Metaphor applies comparison.,literary terminology,
hi-2666,5,बधिर विद्यालय में होंठ पढ़ना सिखाते हैं।,Lip reading at deaf schools.,बधिर विद्यालय Sanskrit,
hi-2720,5,ज़िलाधिकारी ने बाढ़ राहत कार्य का निरीक्षण किया।,DM inspected flood relief.,ज़िलाधिकारी + निरीक्षण formal,
hi-2794,5,यदि सरकार ने समय पर क़दम नहीं उठाए तो स्थिति और ख़राब हो सकती है।,"If govt doesn't act, situation worsens.",यदि + समय formal,
hi-3029,5,श्रवण यंत्र लगाने से सुनाई देने लगा।,Hearing aid let her hear.,श्रवण Sanskrit — हियरिंग,हियरिंग एड लगाने से सुनाई देने लगा।
hi-3045,5,स्वतंत्रता दिवस पर लाल क़िले पर ध्वजारोहण होता है।,Flag hoisting at Red Fort.,ध्वजारोहण ceremony Sanskrit,स्वतंत्रता दिवस पर लाल क़िले पर झंडा फहराया जाता है।
hi-3046,5,लोहड़ी पर अलाव जलाकर उसके चारों ओर नाचते हैं।,Bonfire and dance at Lohri.,अलाव regional/poetic,
hi-3067,5,बोधगया में बुद्ध को ज्ञान प्राप्त हुआ।,Buddha attained enlightenment.,प्राप्त formal — मिला,बोधगया में बुद्ध को ज्ञान मिला।
hi-3112,5,"दरअसल, यह काम इतना आसान नहीं है।","Actually, this work isn't easy.",दरअसल formal — सच में/असली में,
hi-3115,5,हक़ीक़त में यह बात बिलकुल सही है।,"In reality, this is correct.",हक़ीक़त formal — सच में,
hi-3116,5,"वास्तव में, यह योजना बहुत कारगर है।",Actually plan is effective.,वास्तव में formal,
hi-3120,5,वास्तव में यह बदलाव बहुत ज़रूरी था।,In reality change needed.,वास्तव में formal,
hi-3127,5,खपरैल वाला मकान पुराने ज़माने में आम था।,Tile-roofed houses old times.,खपरैल formal,
hi-3159,5,"दरअसल, इस मामले में और जाँच की ज़रूरत है।","Actually, more investigation needed.",दरअसल formal,
hi-0124,6,हमारी प्यारी दादी हर रात सोने से पहले कहानियाँ सुनाती हैं।,dear grandmother tells stories,प्यारी sentimental embellishment,हमारी दादी हर रात सोने से पहले कहानियाँ सुनाती हैं।
hi-0137,6,मेरे प्यारे मामा हर गर्मी में पहाड़ों से हमसे मिलने आते हैं।,dear uncle visits each summer,प्यारे sentimental embellishment,मेरे मामा हर गर्मी में पहाड़ों से हमसे मिलने आते हैं।
hi-0138,6,मेरी माँ प्यार से हर त्योहार पर घर में विशेष हलवा बनाती हैं।,mother lovingly makes halwa,प्यार से sentimental adverb,मेरी माँ हर त्योहार पर घर में विशेष हलवा बनाती हैं।
hi-0285,6,माँ की ममता का कोई मोल नहीं होता।,A mother's affection is priceless.,का कोई मोल नहीं poetic,
hi-0334,6,यह अचार मेरी नानी की पुरानी विधि से बना है।,Made with grandmother's old recipe.,विधि formal — तरीका/रेसिपी,
hi-0336,6,ऊँचे मकान की छत से गाँव का दृश्य दिखता है।,Village view from tall house.,दृश्य literary — नज़ारा,
hi-0350,6,सत्तर प्रतिशत विद्यार्थी पास हुए।,Seventy percent students passed.,विद्यार्थी formal — छात्र/स्टूडेंट,
hi-0407,6,इस पुस्तक का दाम तीन सौ रुपये है।,Price of this book is three hundred rupees.,पुस्तक formal — किताब,
hi-0409,6,अस्सी प्रतिशत विद्यार्थी इस परीक्षा में सफल हुए।,Eighty percent students passed exam.,विद्यार्थी + सफल formal,
hi-0498,6,भारी पत्थर को उठाना एक अकेले आदमी के बस में नहीं।,Heavy stone beyond one man.,के बस में नहीं literary,
hi-0518,6,मैं अपने हर काम को पूरी निष्ठा और लगन से करता हूँ।,Sincerity and dedication.,निष्ठा और लगन flowery,
hi-2302,6,किले की प्राचीर से पूरा शहर दिखता है।,City visible from fort rampart.,प्राचीर formal — दीवार,
hi-2402,6,रोशनदान से हवा और रोशनी आती है।,Air and light from skylight.,रोशनदान archaic,
hi-2405,6,नगर पालिका ने सड़कों की मरम्मत शुरू की।,Municipality started repairs.,नगर पालिका dated,
hi-2421,6,राशन कार्ड से सस्ता अनाज मिलता है।,Ration card gives cheap grain.,dated administrative term,
