English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,It is a cold day in the mountains.,Dağlarda soğuk bir gün.,Det är en kall dag i bergen.,,
,,White snow covers the dark ground.,Beyaz kar karanlık zemini örter.,Vit snö täcker den mörka marken.,,
,,The rain is very heavy this afternoon.,Bu öğleden sonra yağmur çok şiddetli.,Regnet är mycket kraftigt i eftermiddag.,,
,,Do you have an umbrella for the rain.,Yağmur için şemsiyen var mı?,Har du ett paraply för regnet?,,
,,The weather is perfect for a picnic.,Hava piknik için mükemmel.,Vädret är perfekt för en picknick.,,
,,It is very foggy on the road today.,Bugün yolda çok sisli.,Det är väldigt dimmigt på vägen idag.,,
,,The moon is bright in the night sky.,"Ay, gece gökyüzünde parlaktır.",Månen är ljus på natthimlen.,,
,,The stars are visible and beautiful.,Yıldızlar görünüyor ve güzeldir.,Stjärnorna är synliga och vackra.,,
,,It is a quiet night in the forest.,Ormanda sakin bir gece.,Det är en lugn natt i skogen.,,
,,Do the birds sing in the early morning.,Kuşlar sabahın erken saatlerinde öter mi?,Sjunger fåglarna tidigt på morgonen?,,
,,The lake is calm and blue today.,Göl bugün sakin ve mavi.,Sjön är lugn och blå idag.,,
,,The water is cold in the river.,Nehirdeki su soğuk.,Vattnet är kallt i floden.,,
,,It is the dry season in this country.,Bu ülkede kurak mevsim yaşanıyor.,Det är torrsäsongen i det här landet.,,
,,The plants need more water in this heat.,Bu sıcakta bitkilerin daha fazla suya ihtiyacı var.,Växterna behöver mer vatten i den här värmen.,,
,,The storm starts with a loud sound.,Fırtına yüksek bir sesle başlar.,Stormen börjar med ett högt ljud.,,
,,Is it safe to go outside now?,Şimdi dışarı çıkmak güvenli mi?,Är det säkert att gå ut nu?,,
,,The flowers are colorful in the spring.,Çiçekler ilkbaharda renkli olur.,Blommorna är färgglada på våren.,,
,,The garden is full of red roses.,Bahçe kırmızı güllerle dolu.,Trädgården är full av röda rosor.,,
,,It is very humid in the jungle today.,Bugün ormanda çok nemli.,Det är mycket fuktigt i djungeln idag.,,
,,The air feels thick and warm.,Hava ağır ve sıcak hissediliyor.,Luften känns tjock och varm.,,
,,The mountains are high and very steep.,Dağlar yüksek ve çok diktir.,Bergen är höga och mycket branta.,,
,,We see a small stream in the valley.,Vadide küçük bir dere görüyoruz.,Vi ser en liten bäck i dalen.,,
,,The afternoon is dark because of the clouds.,Öğleden sonra bulutlar yüzünden karanlık.,Eftermiddagen är mörk på grund av molnen.,,
,,Does it rain often in the autumn?,Sonbaharda sık sık yağmur yağar mı?,Regnar det ofta på hösten?,,
,,The sea is rough with big waves.,Deniz büyük dalgalarla hırçın.,Havet är upprört med stora vågor.,,
,,The sand is hot on the beach today.,Sahilde kumlar bugün çok sıcak.,Sanden är varm på stranden idag.,,
,,It is a sunny morning in the village.,Köyde güneşli bir sabah.,Det är en solig morgon i byn.,,
,,The light is bright in the room.,Odada ışık parlak.,Ljuset är starkt i rummet.,,
,,The ice is thin on the pond.,Göletin buzu incedir.,Isen är tunn på dammen.,,
,,I agree that a warm coat is necessary.,Sıcak bir paltonun gerekli olduğuna katılıyorum.,Jag håller med om att en varm kappa är nödvändig.,,
,,Several people saw the rainbow.,Birkaç kişi gökkuşağını gördü.,Flera personer såg regnbågen.,,
,,The colors look bright in the sky.,Renkler gökyüzünde parlak görünüyor.,Färgerna ser ljusa ut på himlen.,,
,,It feels quite dusty in the city today.,Şehirde bugün oldukça tozlu bir hava var gibi.,Det känns rätt dammigt i staden idag.,,
,,The wind is strong enough to move sand.,Rüzgar kumu hareket ettirecek kadar güçlü.,Vinden är stark nog för att flytta sand.,,
,,The rocks are almost impossible to break.,Kayaları kırmak neredeyse imkansızdır.,Stenarna är nästan omöjliga att bryta.,,
,,Let us sit in the shade for a while.,Gölgede biraz oturalım.,Låt oss sitta i skuggan en stund.,,
,,The morning is misty in the fields.,Sabah tarlalarda sisli.,Morgonen är dimmig på fälten.,,
,,The sun rises much earlier in summer.,Güneş yazın çok daha erken doğar.,Solen går upp mycket tidigare på sommaren.,,
,,The evening is cool enough to stay outside.,Akşam dışarıda kalacak kadar serin.,Kvällen är sval nog för att stanna ute.,,
,,The area becomes very quiet at night.,Bölge geceleri çok sessiz olur.,Området blir väldigt tyst på natten.,,
,,I can suggest a hospital nearby.,Yakınlarda bir hastane önerebilirim.,Jag kan föreslå ett sjukhus i närheten.,,
,,I can explain how to reach the station.,İstasyona nasıl ulaşılacağını açıklayabilirim.,Jag kan förklara hur man tar sig till stationen.,,
,,I am looking for the entrance.,Girişi arıyorum.,Jag letar efter ingången.,,
,,Do you know where the pharmacy is?,Eczanenin nerede olduğunu biliyor musun?,Vet du var apoteket är?,,
,,The office is on one of the upper floors.,Ofis üst katlardan birinde yer alıyor.,Kontoret ligger på en av de övre våningarna.,,
,,Where is the nearest restroom?,En yakın tuvalet nerede?,Var är närmaste toalett?,,
,,I am looking for the information center.,Bilgi merkezini arıyorum.,Jag letar efter informationscentret.,,
,,There should be a map near the entrance.,Girişin yakınında bir harita olmalı.,Det borde finnas en karta nära ingången.,,
,,I do not think there is a bank here.,Burada bir banka olduğunu sanmıyorum.,Jag tror inte det finns en bank här.,,
,,You will find several cash machines nearby.,Yakınlarda birkaç bankamatik bulacaksınız.,Du hittar flera bankomater i närheten.,,
,,I can show you the way to the elevator.,Sana asansörün yolunu gösterebilirim.,Jag kan visa dig vägen till hissen.,,
,,Which way is the exit from the museum?,Müzeden çıkış hangi yönde?,Var är utgången från museet?,,
,,Where do taxis wait at the airport?,Taksiler havaalanında nerede bekler?,Var väntar taxibilar på flygplatsen?,,
,,I am not sure where my gate is.,Kapımın nerede olduğundan emin değilim.,Jag vet inte var min gate är.,,
,,Where do I buy tickets for the ferry?,Feribot biletini nereden alabilirim?,Var köper jag biljetter till färjan?,,
,,Is there a timetable for the bus?,Otobüsün bir tarifesi var mı?,Finns det en tidtabell för bussen?,,
,,Is there a supermarket around here?,Burada bir süpermarket var mı?,Finns det en mataffär här i närheten?,,
,,There should be a bakery on this corner.,Bu köşede bir fırın olmalı.,Det borde finnas ett bageri på det här hörnet.,,
,,Does this town have a library?,Bu kasabada kütüphane var mı?,Har den här staden ett bibliotek?,,
,,Where is the section for children?,Çocuklar için bölüm nerede?,Var är avdelningen för barn?,,
,,Is there a park close to the hotel?,Otele yakın bir park var mı?,Finns det en park nära hotellet?,,
,,How do we get to the lake?,Göle nasıl gideriz?,Hur tar vi oss till sjön?,,
,,I need to find the post office.,Postaneyi bulmam gerekiyor.,Jag måste hitta postkontoret.,,
,,Where can I buy some stamps?,Nereden pul alabilirim?,Var kan jag köpa frimärken?,,
,,I need to find the police station.,Polis karakolunu bulmam gerekiyor.,Jag behöver hitta polisstationen.,,
,,I think this entrance is for staff only.,Bence bu giriş sadece personel içindir.,Jag tror att den här ingången är bara för personal.,,
,,I believe the school is further down.,Sanırım okul daha aşağıda.,Jag tror skolan är längre ner.,,
,,It seems there isn’t a sports field nearby.,Yakınlarda bir spor sahası yok gibi görünüyor.,Det verkar inte finnas en idrottsplats i närheten.,,
,,I’m not sure how to get there from here.,Buradan oraya nasıl gideceğimden emin değilim.,Jag är inte säker på hur jag kommer dit härifrån.,,
,,"I’m looking for a shop, but I may be in the wrong area.","Bir dükkan arıyorum, ama yanlış bölgede olabilirim.","Jag letar efter en butik, men jag kanske är i fel område.",,
,,"There’s a café inside, although it’s easy to miss.","İçeride bir kafe var, ancak kolayca gözden kaçabilir.","Det finns ett kafé därinne, även om det är lätt att missa.",,
,,I wonder what they’re serving today.,Bugün ne servis ettiklerini merak ediyorum.,Jag undrar vad de serverar idag.,,
,,I think check-in is on the ground floor.,Sanırım check-in zemin katta.,Jag tror incheckningen är på bottenvåningen.,,
,,It looks like there is no space for luggage here.,Burada bagaj için yer yok gibi görünüyor.,Det ser ut som att det finns ingen plats för bagage här.,,
,,I suppose parking is allowed behind the building.,Sanırım binanın arkasında park edilebilir.,Jag förmodar att parkering är tillåten bakom byggnaden.,,
,,"There may be a free space, but it fills up quickly.","Boş bir alan olabilir, ama hızla dolar.","Det kan finnas en ledig plats, men den fylls snabbt.",,
,,I’m not certain where the next gas station is.,Bir sonraki benzin istasyonunun nerede olduğundan emin değilim.,Jag är inte säker på var nästa bensinstation är.,,
,,It doesn’t seem like they have an air pump here.,Burada hava pompası yok gibi görünüyor.,Det verkar inte som att de har en luftpump här.,,
,,"The church is nearby, but not on the main square.","Kilise yakında, ama ana meydanda değil.","Kyrkan ligger i närheten, men inte på stora torget.",,
,,I believe the old tower is still open to visitors.,Sanırım eski kule hâlâ ziyaretçilere açık.,Jag tror det gamla tornet fortfarande är öppet för besökare.,,
,,It appears the movie is showing on another screen.,Görünüşe göre film başka bir ekranda gösteriliyor.,Det verkar som att filmen visas på en annan skärm.,,
,,I’m not sure where I’m supposed to sit.,Nereye oturmam gerektiğinden emin değilim.,Jag är inte säker på var jag ska sitta.,,
,,"The market opens early, but only on Saturdays.","Pazar erken açılır, ama sadece Cumartesileri.","Marknaden öppnar tidigt, men bara på lördagar.",,
,,"You can buy fruit there, although it’s not cheap.","Orada meyve alabilirsin, ucuz olmasa da.","Man kan köpa frukt där, även om det inte är billigt.",,
,,I don’t think there’s a gym in this building.,Bu binada spor salonu olduğunu düşünmüyorum.,Jag tror inte det finns ett gym i den här byggnaden.,,
,,Where do I change clothes?,Nerede üstümü değiştirebilirim?,Var byter jag om?,,
,,How do we cross the river?,Nehri nasıl geçeriz?,Hur korsar vi floden?,,
,,Where do we board the boat?,Tekneye nereden bineriz?,Var går vi ombord på båten?,,
,,Is there a phone charger in this room?,Bu odada telefon şarj aleti var mı?,Finns det en telefonladdare i det här rummet?,,
,,Which switch controls the light?,Işığı hangi anahtar kontrol ediyor?,Vilken strömbrytare styr ljuset?,,
,,The manager can organize the weekly meetings.,Yönetici haftalık toplantıları düzenleyebilir.,Chefen kan organisera veckomötena.,,
,,He cannot attend the conference tomorrow morning.,Yarın sabah konferansa katılamaz.,Han kan inte närvara på konferensen imorgon bitti.,,
,,You can use the new software for the project.,Proje için yeni yazılımı kullanabilirsiniz.,Du kan använda den nya programvaran för projektet.,,
,,Can you sign these important documents now?,Bu önemli belgeleri şimdi imzalayabilir misiniz?,Kan du skriva under dessa viktiga dokument nu?,,
,,The teacher can explain the difficult lesson.,Öğretmen zor dersi açıklayabilir.,Läraren kan förklara den svåra lektionen.,,
,,She cannot help the students during the exam.,"O, sınav sırasında öğrencilere yardım edemez.",Hon kan inte hjälpa studenterna under tentamen.,,
,,We can finish the report by Friday afternoon.,Raporu Cuma öğleden sonraya kadar bitirebiliriz.,Vi kan avsluta rapporten senast fredag eftermiddag.,,
,,We cannot accept any more clients this month.,Bu ay başka müşteri kabul edemeyiz.,Vi kan inte acceptera fler kunder den här månaden.,,
,,They can fix the broken computers in the office.,Onlar ofisteki bozuk bilgisayarları tamir edebilirler.,De kan laga de trasiga datorerna på kontoret.,,
,,They might be able to install the update today.,Onlar güncellemeyi bugün yükleyebilirler.,De kanske kan installera uppdateringen idag.,,
,,I can speak three languages for my work.,İşim için üç dil konuşabiliyorum.,Jag kan tala tre språk i mitt arbete.,,
,,This manual could be difficult to translate alone.,Bu kılavuzu tek başına çevirmek zor olabilir.,Den här manualen kan vara svår att översätta ensam.,,
,,The chef can prepare a meal tonight.,Aşçı bu gece bir yemek hazırlayabilir.,Kocken kan laga en måltid ikväll.,,
,,He cannot work today because of a safety rule.,O bugün bir güvenlik kuralı nedeniyle çalışamıyor.,Han kan inte arbeta idag på grund av en säkerhetsregel.,,
,,The driver could deliver the package today.,Sürücü paketi bugün teslim edebilir.,Föraren kunde leverera paketet idag.,,
,,He might find the address with the old map.,Eski haritayla adresi bulabilir.,Han kanske hittar adressen med den gamla kartan.,,
,,She can take care of her younger sister.,Küçük kız kardeşine bakabilir.,Hon kan ta hand om sin yngre syster.,,
,,She cannot stay out late because she is young.,Genç olduğu için geç saatlere kadar dışarıda kalamaz.,Hon får inte vara ute sent eftersom hon är ung.,,
,,We can visit our grandparents this weekend.,Bu hafta sonu büyükannemizi ve büyükbabamızı ziyaret edebiliriz.,Vi kan besöka våra mor- och farföräldrar i helgen.,,
,,Celebrating his birthday next week is a better idea.,Gelecek hafta doğum gününü kutlamak daha iyi bir fikir.,Att fira hans födelsedag nästa vecka är en bättre idé.,,
,,The baby is six months old and recognizes voices.,Bebek altı aylık ve sesleri tanıyor.,Bebisen är sex månader gammal och känner igen röster.,,
,,They cannot leave their son alone at home.,Oğullarını evde yalnız bırakamazlar.,De kan inte lämna sin son ensam hemma.,,
,,I can help my parents with bills now.,Artık aileme faturalar konusunda yardım edebilirim.,Jag kan hjälpa mina föräldrar med räkningar nu.,,
,,I cannot stay up late because I am tired.,Yorgun olduğum için geç saate kadar ayakta kalamam.,Jag kan inte vara uppe sent eftersom jag är trött.,,
,,You can talk to your older cousin for advice.,Tavsiye almak için büyük kuzeninle konuşabilirsin.,Du kan prata med din äldre kusin för råd.,,
,,Watching my nephew this afternoon might be possible.,Bu öğleden sonra yeğenime bakmam mümkün olabilir.,Att passa min brorson i eftermiddag kan vara möjligt.,,
,,The teenager is fifteen and can travel alone.,Genç on beş yaşında ve yalnız seyahat edebilir.,Tonåringen är femton och kan resa ensam.,,
,,He cannot drive yet because he is too young.,Henüz araba kullanamaz çünkü çok genç.,Han kan inte köra än eftersom han är för ung.,,
,,My aunt can help with childcare for a while.,Teyzem bir süre çocuk bakımına yardımcı olabilir.,Min faster kan hjälpa till med barnpassning ett tag.,,
,,She cannot lift the baby due to health problems.,Sağlık sorunları nedeniyle bebeği kaldıramıyor.,Hon kan inte lyfta bebisen på grund av hälsoproblem.,,
,,We can have dinner together if everyone is free.,"Herkes müsaitse, birlikte akşam yemeği yiyebiliriz.",Vi kan äta middag tillsammans om alla är lediga.,,
,,Changing the meeting time might solve the problem.,Toplantı saatini değiştirmek sorunu çözebilir.,Att ändra mötestiden skulle kunna lösa problemet.,,
,,My grandmother is eighty-two and still very active.,Büyükannem seksen iki yaşında ve hala çok aktif.,Min mormor är åttiotvå och fortfarande väldigt aktiv.,,
,,She cannot hear well which causes some difficulties.,"O iyi duyamıyor, bu da bazı zorluklara yol açıyor.","Hon hör inte så bra, vilket orsakar vissa svårigheter.",,
,,My grandfather can tell stories about our family history.,"Dedem, aile tarihimiz hakkında hikayeler anlatabilir.",Min farfar kan berätta historier om vår släkthistoria.,,
,,He cannot use a smartphone easily without help.,Yardım almadan bir akıllı telefonu kolayca kullanamaz.,Han kan inte använda en smartphone enkelt utan hjälp.,,
,,My younger sisters are nine and read well.,Küçük kız kardeşlerim dokuz yaşında ve iyi okurlar.,Mina yngre systrar är nio och läser bra.,,
,,They cannot stay home alone yet.,Henüz evde yalnız kalamazlar.,De kan inte vara hemma ensamma ännu.,,
,,My son is eleven and can make breakfast.,Oğlum on bir yaşında ve kahvaltı yapabilir.,Min son är elva år och kan laga frukost.,,
,,He cannot go to school alone until next year.,Önümüzdeki yıla kadar okula tek başına gidemez.,Han kan inte gå till skolan ensam förrän nästa år.,,
,,My daughter is three and can count to ten.,Kızım üç yaşında ve ona kadar sayabilir.,Min dotter är tre år och kan räkna till tio.,,
,,She cannot tie her shoes yet.,Henüz ayakkabılarını bağlayamıyor.,Hon kan inte knyta sina skor ännu.,,
,,My uncle is fifty and can drive us there.,Amcam elli yaşında ve bizi oraya götürebilir.,Min farbror är femtio och kan köra oss dit.,,
,,He cannot stay long because of work.,İşi yüzünden uzun kalamaz.,Han kan inte stanna länge på grund av jobbet.,,
,,My niece is fourteen and can babysit.,Yeğenim on dört yaşında ve çocuk bakabilir.,Min systerdotter är fjorton och kan sitta barnvakt.,,
,,She cannot work late on school nights.,"O, okul gecelerinde geç çalışamaz.",Hon kan inte arbeta sent på skoldagar.,,
,,We can plan a trip for my parents' anniversary.,Annemle babamın yıldönümü için bir gezi planlayabiliriz.,Vi kan planera en resa för mina föräldrars bröllopsdag.,,
,,Can we invite the whole family including the kids?,Çocuklar da dahil tüm aileyi davet edebilir miyiz?,Kan vi bjuda in hela familjen inklusive barnen?,,
,,You can see the director in her office now.,Şimdi müdürü ofisinde görebilirsiniz.,Du kan se direktören på hennes kontor nu.,,
,,Can you wait for ten minutes in the lobby?,Lobide on dakika bekleyebilir misin?,Kan du vänta i tio minuter i lobbyn?,,
,,I usually ask again if I do not understand.,Genellikle anlamazsam tekrar sorarım.,Jag brukar fråga igen om jag inte förstår.,,
,,I sometimes stop to ask a neighbor for advice.,Bazen bir komşuya tavsiye sormak için dururum.,Ibland stannar jag för att fråga en granne om råd.,,
,,I avoid heavy meals because they make me unwell.,Ağır yemeklerden kaçınıyorum çünkü beni rahatsız ediyorlar.,Jag undviker tunga måltider eftersom de gör mig sjuk.,,
,,I ask the librarian to explain the book again.,Kütüphaneciden kitabı tekrar açıklamasını rica ediyorum.,Jag ber bibliotekarien att förklara boken igen.,,
,,Do you check with colleagues before making plans?,Plan yapmadan önce meslektaşlarınıza danışır mısınız?,Kollar du med kollegor innan du gör upp planer?,,
,,He always makes sure the door is locked.,Kapının kilitli olduğundan her zaman emin olur.,Han ser alltid till att dörren är låst.,,
,,When the bag is heavy he asks for help.,Çanta ağır olduğunda yardım ister.,När väskan är tung ber han om hjälp.,,
,,She prefers not to watch television during the week.,O hafta içi televizyon izlememeyi tercih eder.,Hon föredrar att inte titta på TV på vardagarna.,,
,,She lets her family know if dinner is late.,"O, akşam yemeği gecikirse ailesine haber verir.",Hon meddelar sin familj om middagen är sen.,,
,,We keep our phones away at the table.,Masada telefonlarımızı uzağa koyarız.,Vi lägger undan våra telefoner vid bordet.,,
,,After school we often meet friends in the park.,Okuldan sonra sık sık parkta arkadaşlarımızla buluşuruz.,Efter skolan träffar vi ofta vänner i parken.,,
,,They ask the ticket officer before boarding the train.,Trene binmeden önce bilet görevlisine sorarlar.,De frågar biljettkontrollanten innan de går ombord på tåget.,,
,,Do they invite neighbors over to their house?,Komşularını evlerine davet ederler mi?,Bjuder de in grannar hem till sig?,,
,,I avoid coffee because it affects my sleep.,Uykumu etkilediği için kahveden kaçınırım.,Jag undviker kaffe eftersom det påverkar min sömn.,,
,,I check the news but skip it when busy.,Haberlere bakarım ama meşgulken atlarım.,Jag kollar nyheterna men hoppar över det när jag är upptagen.,,
,,During winter I exercise less and talk with friends.,Kışın daha az egzersiz yaparım ve arkadaşlarımla konuşurum.,Under vintern tränar jag mindre och pratar med vänner.,,
,,He asks people to turn the noise down.,İnsanlardan sesi kısmalarını istiyor.,Han ber folk att sänka ljudet.,,
,,He often helps his younger sister with her work.,Sık sık küçük kız kardeşine işlerinde yardım eder.,Han hjälper ofta sin yngre syster med hennes arbete.,,
,,She does not talk about her private life.,O özel hayatından bahsetmez.,Hon pratar inte om sitt privatliv.,,
,,If she is unsure she asks a friend.,Emin değilse bir arkadaşına sorar.,Om hon är osäker frågar hon en vän.,,
,,On school nights we do not play video games.,Okul geceleri video oyunları oynamıyoruz.,På skolkvällar spelar vi inte datorspel.,,
,,We visit our grandparents when we can.,Mümkün olduğunca büyükanne ve büyükbabamızı ziyaret ederiz.,Vi besöker våra mor- och farföräldrar när vi kan.,,
,,They choose simple hotels because comfort matters most.,Basit otelleri seçerler çünkü konfor en çok önem taşır.,De väljer enkla hotell eftersom komfort är viktigast.,,
,,They sometimes ask locals about swimming spots.,Onlar bazen yöre halkına yüzme yerlerini sorarlar.,De frågar ibland lokalbor om badplatser.,,
,,I try not to drive downtown unless necessary.,Zorunlu olmadıkça şehir merkezine araba sürmemeye çalışırım.,Jag försöker att inte köra in till stan om det inte är nödvändigt.,,
,,While cleaning I usually listen to light music.,Temizlik yaparken genellikle hafif müzik dinlerim.,När jag städar brukar jag lyssna på lätt musik.,,
,,If work runs late I let my team know.,İş gecikirse ekibime haber veririm.,Om arbetet blir försenat låter jag mitt team veta.,,
,,Do you usually meet friends on Fridays?,Genellikle Cumaları arkadaşlarınla buluşur musun?,Brukar du träffa vänner på fredagar?,,
,,He avoids meat and dairy for personal reasons.,Kişisel nedenlerle et ve süt ürünlerinden kaçınır.,Han undviker kött och mejeriprodukter av personliga skäl.,,
,,When he writes to his parents it takes time.,Ailesine yazdığında zaman alır.,När han skriver till sina föräldrar tar det tid.,,
,,She goes to the cinema alone for quiet time.,Kafa dinlemek için sinemaya tek başına gidiyor.,Hon går ensam på bio för att få lugn och ro.,,
,,Sometimes she buys flowers for her guests.,Bazen misafirleri için çiçekler alır.,Ibland köper hon blommor till sina gäster.,,
,,We pay attention to water use in dry months.,Kurak aylarda su kullanımına dikkat ediyoruz.,Vi är noga med vattenförbrukningen under torra månader.,,
,,We take the bus when it is easy.,Otobüse kolay olduğunda bineriz.,Vi tar bussen när det är enkelt.,,
,,They do not use maps and ask locals.,Haritaları kullanmazlar ve yerlilere sorarlar.,De använder inte kartor och frågar lokalbor.,,
,,Do they practice English together after dinner?,Yemekten sonra birlikte İngilizce pratik yapıyorlar mı?,Övar de engelska tillsammans efter middagen?,,
,,I wake up early unless it is the weekend.,Hafta sonu olmadığı sürece erken kalkarım.,Jag vaknar tidigt om det inte är helg.,,
,,At work I wear practical dark clothes.,"İş yerinde pratik, koyu renkli kıyafetler giyerim.",På jobbet har jag på mig praktiska mörka kläder.,,
,,If milk is missing you can ask at shop.,Süt yoksa dükkânda sorabilirsin.,Om mjölk saknas kan du fråga i affären.,,
,,Do you usually keep your keys in one place?,Genellikle anahtarlarını tek bir yerde mi tutarsın?,Brukar du förvara dina nycklar på ett ställe?,,
,,He rarely complains even when the job is difficult.,İş zor olsa bile nadiren şikayet eder.,Han klagar sällan även när jobbet är svårt.,,
,,He brings snacks to share during long meetings.,Uzun toplantılarda paylaşmak için atıştırmalıklar getirir.,Han tar med sig snacks att bjuda på under långa möten.,,
,,In winter she cleans the windows less often.,Kışın pencereleri daha seyrek temizler.,På vintern putsar hon fönstren mindre ofta.,,
,,At night she sits in the garden if warm.,Geceleri hava sıcaksa bahçede oturur.,På natten sitter hon i trädgården om det är varmt.,,
,,We stay open on holidays to help customers.,Müşterilere yardım etmek için tatillerde açık kalıyoruz.,Vi håller öppet på helgdagar för att hjälpa kunder.,,
,,We share lunch when someone forgets theirs.,Birisi kendininkini unuttuğunda öğle yemeği paylaşırız.,Vi delar lunch när någon glömmer sin egen.,,
,,They solve problems themselves before asking for help.,Yardım istemeden önce sorunları kendileri çözerler.,De löser problem själva innan de ber om hjälp.,,
,,Do they train regularly before the big races?,Büyük yarışlardan önce düzenli olarak antrenman yapıyorlar mı?,Tränar de regelbundet inför de stora loppen?,,
,,I check for my umbrella when rain is expected.,Yağmur beklendiğinde şemsiyemi kontrol ederim.,Jag letar efter mitt paraply när regn förväntas.,,
,,In spring we plant seeds with the neighbors.,Baharda komşularla tohum ekeriz.,På våren planterar vi frön med grannarna.,,
,,You must show your passport at the desk.,Pasaportunuzu danışmada göstermeniz gerekiyor.,Du måste visa ditt pass i receptionen.,,
,,I have to arrive at the airport early.,Havalimanına erken varmam gerekiyor.,Jag måste komma till flygplatsen tidigt.,,
,,You must wear a seatbelt during the flight.,Uçuş sırasında emniyet kemerinizi takmalısınız.,Du måste bära säkerhetsbälte under flygningen.,,
,,Do you have to pay for extra luggage?,Ekstra bagaj için ödeme yapmak zorunda mısınız?,Måste man betala för extra bagage?,,
,,He must stay behind the yellow line.,"O, sarı çizginin arkasında kalmalı.",Han måste hålla sig bakom den gula linjen.,,
,,He has to buy a ticket before the train.,Tren gelmeden önce bir bilet almak zorunda.,Han måste köpa en biljett innan tåget.,,
,,She must turn off her phone during takeoff.,Kalkış sırasında telefonunu kapatmak zorunda.,Hon måste stänga av sin telefon under start.,,
,,Does she have to change trains in Paris?,Paris'te tren değiştirmek zorunda mı?,Måste hon byta tåg i Paris?,,
,,We must go through security before the gate.,Kapıdan önce güvenlikten geçmeliyiz.,Vi måste gå igenom säkerhetskontrollen innan gaten.,,
,,We have to find our seat numbers.,Koltuk numaralarımızı bulmamız gerekiyor.,Vi måste hitta våra platsnummer.,,
,,They must follow signs to the baggage claim.,Bagaj alımına giden tabelaları takip etmek zorundalar.,De måste följa skyltar till bagageutlämningen.,,
,,Do they have to wait for the next bus?,Bir sonraki otobüsü beklemek zorundalar mı?,Måste de vänta på nästa buss?,,
,,I must print my boarding pass at home.,Evde biniş kartımı basmalıyım.,Jag måste skriva ut mitt boardingkort hemma.,,
,,I have to show my ID to the attendant.,Kimliğimi görevliye göstermek zorundayım.,Jag måste visa mitt ID för skötaren.,,
,,You must check the monitor for flight delays.,Uçuş gecikmeleri için monitörü kontrol etmelisiniz.,Du måste kontrollera skärmen för flygförseningar.,,
,,Do you have to carry your own bags?,Kendi çantalarınızı taşımak zorunda mısınız?,Måste du bära dina egna väskor?,,
,,He must listen to the safety instructions carefully.,"O, güvenlik talimatlarını dikkatlice dinlemeli.",Han måste lyssna på säkerhetsinstruktionerna noga.,,
,,He has to show his visa to the officer.,Memura vizesini göstermesi gerekiyor.,Han måste visa sitt visum för tjänstemannen.,,
,,She must keep her bags with her always.,Çantalarını her zaman yanında tutmalı.,Hon måste alltid ha sina väskor med sig.,,
,,She has to wait in the lounge for flight.,Uçuşu için bekleme salonunda beklemek zorunda.,Hon måste vänta i loungen på flyget.,,
,,We must exit the train at the final stop.,Son durakta trenden inmeliyiz.,Vi måste kliva av tåget vid ändhållplatsen.,,
,,Do we have to book a seat in advance?,Önceden koltuk ayırtmamız gerekiyor mu?,Måste vi boka en plats i förväg?,,
,,They must put liquids in a clear bag.,Sıvıları şeffaf bir poşete koymaları gerekiyor.,De måste lägga vätskor i en genomskinlig påse.,,
,,They have to walk to the gate now.,Şimdi kapıya yürümeleri gerekiyor.,De måste gå till porten nu.,,
,,I must validate my ticket at the machine.,Biletimi makinede onaylamam gerekiyor.,Jag måste validera min biljett i automaten.,,
,,I have to pack my suitcase tonight.,Bu gece valizimi toplamam gerekiyor.,Jag måste packa min resväska ikväll.,,
,,You must remove your shoes at security.,Güvenlikte ayakkabılarınızı çıkarmalısınız.,Du måste ta av dig skorna i säkerhetskontrollen.,,
,,Do you have to take a taxi to station?,İstasyona taksiye binmek zorunda mısın?,Måste du ta en taxi till stationen?,,
,,He must show his ticket to the conductor.,Kondüktöre biletini göstermeli.,Han måste visa sin biljett till konduktören.,,
,,He has to travel for ten hours to reach home.,Evine ulaşmak için on saat yolculuk yapmak zorunda.,Han måste resa i tio timmar för att komma hem.,,
,,She must stand in the queue for the bus.,O otobüs için sırada durmalı.,Hon måste stå i kön till bussen.,,
,,Does she have to declare the food in her bag?,Çantasındaki yiyecekleri beyan etmek zorunda mı?,Måste hon deklarera maten i sin väska?,,
,,We must keep our passports in a safe place.,Pasaportlarımızı güvenli bir yerde saklamalıyız.,Vi måste förvara våra pass på en säker plats.,,
,,We have to check the platform number again.,Peron numarasını tekrar kontrol etmeliyiz.,Vi måste kontrollera plattformsnumret igen.,,
,,They must remain seated until the plane stops.,Uçak durana kadar yerlerinde kalmak zorundalar.,De måste sitta kvar tills flygplanet stannar.,,
,,Do they have to pay a fine for the ticket?,Bilet için para cezası ödemeleri gerekiyor mu?,Måste de betala böter för biljetten?,,
,,I must weigh my bag before the flight.,Uçuştan önce çantamı tartmalıyım.,Jag måste väga min väska innan flyget.,,
,,I have to use stairs because the lift is broken.,Merdivenleri kullanmak zorundayım çünkü asansör bozuk.,Jag måste ta trapporna eftersom hissen är trasig.,,
,,You must watch your step on the escalator.,Yürüyen merdivende adımlarınıza dikkat etmelisiniz.,Du måste se upp med steget på rulltrappan.,,
,,Do you have to travel for work often?,Sık sık iş seyahatlerine çıkmak zorunda mısınız?,Måste du resa ofta i jobbet?,,
