Order,Tier,Topic,English,Turkish,Swedish,Farsi,Hindi,Is New
650,Beginner,5. Daily Routines,We can visit our grandparents this weekend.,Bu hafta sonu büyükannemizi ve büyükbabamızı ziyaret edebiliriz.,Vi kan besöka våra mor- och farföräldrar i helgen.,,,
651,Beginner,5. Daily Routines,I cannot stay up late because I am tired.,Yorgun olduğum için geç saate kadar ayakta kalamam.,Jag kan inte vara uppe sent eftersom jag är trött.,,,
652,Beginner,5. Daily Routines,Changing the meeting time might solve the problem.,Toplantı saatini değiştirmek sorunu çözebilir.,Att ändra mötestiden skulle kunna lösa problemet.,,,
653,Beginner,5. Daily Routines,She cannot hear well which causes some difficulties.,"O iyi duyamıyor, bu da bazı zorluklara yol açıyor.","Hon hör inte så bra, vilket orsakar vissa svårigheter.",,,
654,Beginner,5. Daily Routines,He cannot use a smartphone easily without help.,Yardım almadan bir akıllı telefonu kolayca kullanamaz.,Han kan inte använda en smartphone enkelt utan hjälp.,,,
655,Beginner,5. Daily Routines,My younger sisters are nine and read well.,Küçük kız kardeşlerim dokuz yaşında ve iyi okurlar.,Mina yngre systrar är nio och läser bra.,,,
656,Beginner,5. Daily Routines,They cannot stay home alone yet.,Henüz evde yalnız kalamazlar.,De kan inte vara hemma ensamma ännu.,,,
657,Beginner,5. Daily Routines,He cannot go to school alone until next year.,Önümüzdeki yıla kadar okula tek başına gidemez.,Han kan inte gå till skolan ensam förrän nästa år.,,,
658,Beginner,5. Daily Routines,He cannot stay long because of work.,İşi yüzünden uzun kalamaz.,Han kan inte stanna länge på grund av jobbet.,,,
659,Beginner,5. Daily Routines,You can see the director in her office now.,Şimdi müdürü ofisinde görebilirsiniz.,Du kan se direktören på hennes kontor nu.,,,
660,Beginner,5. Daily Routines,Can you wait for ten minutes in the lobby?,Lobide on dakika bekleyebilir misin?,Kan du vänta i tio minuter i lobbyn?,,,
661,Beginner,5. Daily Routines,I usually ask again if I do not understand.,Genellikle anlamazsam tekrar sorarım.,Jag brukar fråga igen om jag inte förstår.,,,
662,Beginner,5. Daily Routines,I ask the librarian to explain the book again.,Kütüphaneciden kitabı tekrar açıklamasını rica ediyorum.,Jag ber bibliotekarien att förklara boken igen.,,,
663,Beginner,5. Daily Routines,When the bag is heavy he asks for help.,Çanta ağır olduğunda yardım ister.,När väskan är tung ber han om hjälp.,,,
664,Beginner,5. Daily Routines,She prefers not to watch television during the week.,O hafta içi televizyon izlememeyi tercih eder.,Hon föredrar att inte titta på TV på vardagarna.,,,
665,Beginner,5. Daily Routines,We keep our phones away at the table.,Masada telefonlarımızı uzağa koyarız.,Vi lägger undan våra telefoner vid bordet.,,,
666,Beginner,5. Daily Routines,They ask the ticket officer before boarding the train.,Trene binmeden önce bilet görevlisine sorarlar.,De frågar biljettkontrollanten innan de går ombord på tåget.,,,
667,Beginner,5. Daily Routines,I avoid coffee because it affects my sleep.,Uykumu etkilediği için kahveden kaçınırım.,Jag undviker kaffe eftersom det påverkar min sömn.,,,
668,Beginner,5. Daily Routines,I check the news but skip it when busy.,Haberlere bakarım ama meşgulken atlarım.,Jag kollar nyheterna men hoppar över det när jag är upptagen.,,,
669,Beginner,5. Daily Routines,He asks people to turn the noise down.,İnsanlardan sesi kısmalarını istiyor.,Han ber folk att sänka ljudet.,,,
670,Beginner,5. Daily Routines,On school nights we do not play video games.,Okul geceleri video oyunları oynamıyoruz.,På skolkvällar spelar vi inte datorspel.,,,
671,Beginner,5. Daily Routines,We visit our grandparents when we can.,Mümkün olduğunca büyükanne ve büyükbabamızı ziyaret ederiz.,Vi besöker våra mor- och farföräldrar när vi kan.,,,
672,Beginner,5. Daily Routines,They sometimes ask locals about swimming spots.,Onlar bazen yöre halkına yüzme yerlerini sorarlar.,De frågar ibland lokalbor om badplatser.,,,
673,Beginner,5. Daily Routines,While cleaning I usually listen to light music.,Temizlik yaparken genellikle hafif müzik dinlerim.,När jag städar brukar jag lyssna på lätt musik.,,,
674,Beginner,5. Daily Routines,If work runs late I let my team know.,İş gecikirse ekibime haber veririm.,Om arbetet blir försenat låter jag mitt team veta.,,,
675,Beginner,5. Daily Routines,We pay attention to water use in dry months.,Kurak aylarda su kullanımına dikkat ediyoruz.,Vi är noga med vattenförbrukningen under torra månader.,,,
676,Beginner,5. Daily Routines,I wake up early unless it is the weekend.,Hafta sonu olmadığı sürece erken kalkarım.,Jag vaknar tidigt om det inte är helg.,,,
677,Beginner,5. Daily Routines,If milk is missing you can ask at shop.,Süt yoksa dükkânda sorabilirsin.,Om mjölk saknas kan du fråga i affären.,,,
678,Beginner,5. Daily Routines,In winter she cleans the windows less often.,Kışın pencereleri daha seyrek temizler.,På vintern putsar hon fönstren mindre ofta.,,,
679,Beginner,5. Daily Routines,At night she sits in the garden if warm.,Geceleri hava sıcaksa bahçede oturur.,På natten sitter hon i trädgården om det är varmt.,,,
680,Beginner,5. Daily Routines,We stay open on holidays to help customers.,Müşterilere yardım etmek için tatillerde açık kalıyoruz.,Vi håller öppet på helgdagar för att hjälpa kunder.,,,
681,Beginner,5. Daily Routines,They solve problems themselves before asking for help.,Yardım istemeden önce sorunları kendileri çözerler.,De löser problem själva innan de ber om hjälp.,,,
682,Beginner,5. Daily Routines,I check for my umbrella when rain is expected.,Yağmur beklendiğinde şemsiyemi kontrol ederim.,Jag letar efter mitt paraply när regn förväntas.,,,
683,Beginner,5. Daily Routines,She must turn off her phone during takeoff.,Kalkış sırasında telefonunu kapatmak zorunda.,Hon måste stänga av sin telefon under start.,,,
684,Beginner,5. Daily Routines,They must follow signs to the baggage claim.,Bagaj alımına giden tabelaları takip etmek zorundalar.,De måste följa skyltar till bagageutlämningen.,,,
685,Beginner,5. Daily Routines,You must check the monitor for flight delays.,Uçuş gecikmeleri için monitörü kontrol etmelisiniz.,Du måste kontrollera skärmen för flygförseningar.,,,
686,Beginner,5. Daily Routines,He must listen to the safety instructions carefully.,"O, güvenlik talimatlarını dikkatlice dinlemeli.",Han måste lyssna på säkerhetsinstruktionerna noga.,,,
687,Beginner,5. Daily Routines,She must keep her bags with her always.,Çantalarını her zaman yanında tutmalı.,Hon måste alltid ha sina väskor med sig.,,,
688,Beginner,5. Daily Routines,They must put liquids in a clear bag.,Sıvıları şeffaf bir poşete koymaları gerekiyor.,De måste lägga vätskor i en genomskinlig påse.,,,
689,Beginner,5. Daily Routines,She must stand in the queue for the bus.,O otobüs için sırada durmalı.,Hon måste stå i kön till bussen.,,,
690,Beginner,5. Daily Routines,We must keep our passports in a safe place.,Pasaportlarımızı güvenli bir yerde saklamalıyız.,Vi måste förvara våra pass på en säker plats.,,,
691,Beginner,5. Daily Routines,You must watch your step on the escalator.,Yürüyen merdivende adımlarınıza dikkat etmelisiniz.,Du måste se upp med steget på rulltrappan.,,,
692,Beginner,5. Daily Routines,He must sign the customs form now.,Gümrük formunu şimdi imzalaması gerekiyor.,Han måste skriva under tullformuläret nu.,,,
693,Beginner,5. Daily Routines,She must put her laptop in the tray.,Laptopunu tepsiye koymalı.,Hon måste lägga sin laptop i brickan.,,,
694,Beginner,5. Daily Routines,You drank three glasses of water after the run.,Koşudan sonra üç bardak su içtin.,Du drack tre glas vatten efter löpturen.,,,
695,Beginner,5. Daily Routines,She gave me an interesting book to read.,Bana okumam için ilginç bir kitap verdi.,Hon gav mig en intressant bok att läsa.,,,
696,Beginner,5. Daily Routines,He read the entire newspaper in the morning.,Sabah gazetenin tamamını okudu.,Han läste hela tidningen på morgonen.,,,
697,Beginner,5. Daily Routines,You used a blue pen to sign the paper.,Kağıdı imzalamak için mavi bir kalem kullandınız.,Du använde en blå penna för att skriva under pappret.,,,
698,Beginner,5. Daily Routines,He climbed the hill to see the sunset.,Gün batımını görmek için tepeye tırmandı.,Han klättrade uppför kullen för att se solnedgången.,,,
699,Beginner,5. Daily Routines,I pushed the door open with my shoulder.,Kapıyı omzumla iterek açtım.,Jag knuffade upp dörren med axeln.,,,
700,Beginner,5. Daily Routines,He used a map because the signs were missing.,Bir harita kullandı çünkü levhalar eksikti.,Han använde en karta eftersom skyltarna saknades.,,,
701,Beginner,5. Daily Routines,She used a soft cloth to clean her glasses.,"O, gözlüğünü temizlemek için yumuşak bir bez kullandı.",Hon använde en mjuk trasa för att putsa sina glasögon.,,,
702,Beginner,5. Daily Routines,I need a new laptop so I will buy one.,"Yeni bir dizüstü bilgisayara ihtiyacım var, bu yüzden bir tane alacağım.",Jag behöver en ny laptop så jag ska köpa en.,,,
703,Beginner,5. Daily Routines,Her new job starts soon and the change is important.,Yeni işi yakında başlıyor ve değişiklik önemli.,Hennes nya jobb börjar snart och förändringen är viktig.,,,
704,Beginner,5. Daily Routines,I will wash the windows unless it starts to rain.,Yağmur yağmaya başlamazsa pencereleri yıkayacağım.,Jag ska tvätta fönstren om det inte börjar regna.,,,
705,Beginner,5. Daily Routines,Are you playing tennis or staying at home tonight?,Bu akşam tenis mi oynuyorsun yoksa evde mi kalıyorsun?,Spelar du tennis eller stannar du hemma ikväll?,,,
706,Beginner,5. Daily Routines,He must repair the roof before winter starts.,Kış başlamadan çatıyı tamir etmeli.,Han måste reparera taket innan vintern börjar.,,,
707,Beginner,5. Daily Routines,She will visit the gallery when she has time.,Vakti olduğunda galeri'yi ziyaret edecek.,Hon kommer att besöka galleriet när hon har tid.,,,
708,Beginner,5. Daily Routines,I will wash the windows before our guests arrive.,Misafirlerimiz gelmeden önce pencereleri yıkayacağım.,Jag kommer att putsa fönstren innan våra gäster anländer.,,,
709,Beginner,5. Daily Routines,Are you playing tennis or just staying home?,Tenis mi oynuyorsun yoksa sadece evde mi kalıyorsun?,Spelar du tennis eller stannar du bara hemma?,,,
710,Beginner,5. Daily Routines,He will repair the roof before the rain starts.,Yağmur başlamadan önce çatıyı tamir edecek.,Han kommer att reparera taket innan regnet börjar.,,,
711,Beginner,5. Daily Routines,The blue car is faster but uses more fuel.,Mavi araba daha hızlıdır ama daha çok yakıt tüketir.,Den blå bilen är snabbare men drar mer bränsle.,,,
712,Beginner,5. Daily Routines,Is the new phone more powerful than the old one?,Yeni telefon eskisinden daha mı güçlü?,Är den nya telefonen kraftfullare än den gamla?,,,
713,Beginner,5. Daily Routines,Starting early tomorrow will help us finish the job.,"Yarın erkenden başlamak, işi bitirmemize yardımcı olacak.",Att börja tidigt imorgon kommer att hjälpa oss att slutföra jobbet.,,,
714,Beginner,5. Daily Routines,Staying at home sounds like a relaxing plan tonight.,Bu gece evde kalmak kulağa rahatlatıcı bir plan gibi geliyor.,Att stanna hemma låter som en avkopplande plan ikväll.,,,
715,Beginner,5. Daily Routines,You can use my umbrella if you need it.,İhtiyacın olursa şemsiyemi kullanabilirsin.,Du kan använda mitt paraply om du behöver det.,,,
716,Beginner,5. Daily Routines,The hotel pool is still open for a few hours.,Otel havuzu hala birkaç saat daha açık.,Hotellpoolen är fortfarande öppen i några timmar.,,,
717,Beginner,5. Daily Routines,We should finish our homework before the game starts.,Oyun başlamadan önce ödevimizi tamamlamalıyız.,Vi borde slutföra våra läxor innan spelet börjar.,,,
718,Beginner,5. Daily Routines,The garden needs some work before the summer begins.,Bahçenin yaz başlamadan önce biraz işe ihtiyacı var.,Trädgården behöver lite arbete innan sommaren börjar.,,,
719,Beginner,5. Daily Routines,These grocery bags are much too heavy to carry.,Bu market poşetleri taşıyamayacak kadar ağır.,Dessa matkassar är alldeles för tunga att bära.,,,
720,Beginner,5. Daily Routines,You can borrow this book from me quite easily.,Benden bu kitabı oldukça kolayca ödünç alabilirsin.,Du kan låna den här boken av mig ganska lätt.,,,
721,Beginner,5. Daily Routines,The grass looks dry enough to sit on now.,Çimler artık oturulabilecek kadar kuru görünüyor.,Gräset ser torrt nog ut att sitta på nu.,,,
722,Beginner,5. Daily Routines,Let us check the flight schedule again.,Uçuş programını tekrar kontrol edelim.,Låt oss kolla flygtidtabellen igen.,,,
723,Beginner,5. Daily Routines,We may need to change the meeting date.,Toplantı tarihini değiştirmemiz gerekebilir.,Vi kan behöva ändra mötesdatumet.,,,
724,Beginner,5. Daily Routines,Shall we turn off the lights before leaving?,Çıkmadan ışıkları kapatalım mı?,Ska vi släcka lamporna innan vi går?,,,
725,Beginner,5. Daily Routines,You can come to my office this afternoon.,Bu öğleden sonra ofisime gelebilirsiniz.,Du kan komma till mitt kontor i eftermiddag.,,,
726,Beginner,5. Daily Routines,Does this phone have enough memory for photos?,Bu telefonun fotoğraflar için yeterli hafızası var mı?,Har den här telefonen tillräckligt med minne för foton?,,,
727,Beginner,5. Daily Routines,She sends far too many emails during the day.,Gün içinde gereğinden çok fazla e-posta gönderiyor.,Hon skickar alldeles för många mejl under dagen.,,,
728,Beginner,5. Daily Routines,We watch too much television in the evening.,Akşamları çok fazla televizyon izliyoruz.,Vi tittar på för mycket TV på kvällen.,,,
729,Beginner,5. Daily Routines,They use too much plastic at the supermarket.,Süpermarkette çok fazla plastik kullanıyorlar.,De använder för mycket plast i mataffären.,,,
730,Beginner,5. Daily Routines,They ask too many questions during the presentation.,Sunum sırasında çok fazla soru soruyorlar.,De frågar för många frågor under presentationen.,,,
731,Beginner,5. Daily Routines,You put too much salt in the vegetable soup.,Sebze çorbasına çok fazla tuz koydun.,Du la för mycket salt i grönsakssoppan.,,,
732,Beginner,5. Daily Routines,There are too many advertisements on this website.,Bu web sitesinde çok fazla reklam var.,Det finns för många annonser på den här webbplatsen.,,,
733,Beginner,5. Daily Routines,The weather is beautiful for a walk in the garden.,Bahçede yürüyüş yapmak için hava çok güzel.,Vädret är vackert för en promenad i trädgården.,,,
734,Beginner,5. Daily Routines,You practiced every day and deserved the victory.,Her gün antrenman yaptın ve zaferi hak ettin.,Du tränade varje dag och förtjänade segern.,,,
735,Beginner,5. Daily Routines,"The rain is heavy, so the band cannot play outside.","Yağmur şiddetli, bu yüzden grup dışarıda çalamıyor.","Regnet är kraftigt, så bandet kan inte spela utomhus.",,,
736,Beginner,5. Daily Routines,"The lights are off, so he uses his phone flashlight.","Işıklar kapalı, bu yüzden telefonunun el fenerini kullanıyor.","Lamporna är släckta, så han använder sin telefonficklampa.",,,
737,Beginner,5. Daily Routines,Has she ever seen a whale in the open ocean?,O hiç açık okyanusta bir balina görmüş mü?,Har hon någonsin sett en val på öppet hav?,,,
738,Beginner,5. Daily Routines,I misunderstood the question at the very start.,Soruyu en başında yanlış anladım.,Jag missförstod frågan redan från början.,,,
739,Beginner,5. Daily Routines,I read it too quickly and missed the point.,Çok hızlı okudum ve asıl noktayı kaçırdım.,Jag läste det för snabbt och missade poängen.,,,
740,Beginner,5. Daily Routines,Now I see what the actual problem is.,Şimdi asıl sorunun ne olduğunu görüyorum.,Nu förstår jag vad det verkliga problemet är.,,,
741,Beginner,5. Daily Routines,Does the alarm sound if someone opens the door?,Biri kapıyı açarsa alarm çalar mı?,Går larmet om någon öppnar dörren?,,,
742,Beginner,5. Daily Routines,The computer shuts down if it gets too hot.,Bilgisayar çok ısınırsa kapanır.,Datorn stänger av sig om den blir för varm.,,,
743,Beginner,5. Daily Routines,"If I wake up late, I miss the bus.","Geç uyanırsam, otobüsü kaçırırım.","Om jag vaknar sent, missar jag bussen.",,,
744,Beginner,5. Daily Routines,Does the light turn on when you enter the room?,Odaya girdiğinizde ışık yanıyor mu?,Tänds ljuset när du går in i rummet?,,,
745,Beginner,5. Daily Routines,Wood floats if you put it in a large pool.,Odunu büyük bir havuza koyarsan yüzer.,Trä flyter om man lägger det i en stor pool.,,,
746,Beginner,5. Daily Routines,Does the car start if the battery is dead?,Akü bitmişse araba çalışır mı?,Startar bilen om batteriet är dött?,,,
747,Beginner,5. Daily Routines,Does the phone charge if the cable is broken?,Kablo kırıksa telefon şarj olur mu?,Laddar telefonen om kabeln är trasig?,,,
748,Beginner,5. Daily Routines,Does ice sink if you put it in water?,Buzu suya koyarsan batar mı?,Sjunker is om du lägger det i vatten?,,,
749,Beginner,5. Daily Routines,She sees clearly when she wears her glasses.,Gözlüğünü taktığında net görür.,Hon ser tydligt när hon har på sig sina glasögon.,,,
750,Beginner,5. Daily Routines,I cannot sleep if I drink coffee at night.,Gece kahve içersem uyuyamam.,Jag kan inte sova om jag dricker kaffe på kvällen.,,,
751,Beginner,5. Daily Routines,Iron rusts quickly in a wet or damp environment.,"Demir, ıslak veya nemli bir ortamda hızlıca paslanır.",Järn rostar snabbt i en våt eller fuktig miljö.,,,
752,Beginner,5. Daily Routines,He cannot open his email without the correct password.,"O, doğru şifre olmadan e-postasını açamaz.",Han kan inte öppna sin e-post utan rätt lösenord.,,,
753,Beginner,5. Daily Routines,They fail their tests if they do not study.,Ders çalışmazlarsa sınavlarında başarısız olurlar.,De får underkänt på sina prov om de inte studerar.,,,
754,Beginner,5. Daily Routines,Does the heater turn off when the room is warm?,Oda ısındığında ısıtıcı kapanır mı?,Stänger värmaren av sig när rummet är varmt?,,,
755,Beginner,5. Daily Routines,The door locks automatically when you close it.,Kapıyı kapattığınızda otomatik olarak kilitlenir.,Dörren låser sig automatiskt när du stänger den.,,,
756,Beginner,5. Daily Routines,"If it rains later, I will stay home and read.","Daha sonra yağmur yağarsa, evde kalacağım ve okuyacağım.","Om det regnar senare, stannar jag hemma och läser.",,,
757,Beginner,5. Daily Routines,He will fail the exam if he does not study.,"Çalışmazsa, sınavdan kalacak.",Han kommer att kugga på provet om han inte studerar.,,,
758,Beginner,5. Daily Routines,She will buy that dress if it goes on sale.,"O elbise indirime girerse, onu alacak.",Hon kommer att köpa den där klänningen om den reas ut.,,,
759,Beginner,5. Daily Routines,What will he do if he loses his phone?,Telefonunu kaybederse ne yapacak?,Vad kommer han att göra om han tappar bort sin telefon?,,,
760,Beginner,5. Daily Routines,She will join us if she finishes work early.,"İşini erken bitirirse, bize katılacak.",Hon följer med oss om hon slutar jobbet tidigt.,,,
761,Beginner,5. Daily Routines,I will give Mark your message when I see him.,Onu gördüğümde Mark'a mesajını vereceğim.,Jag ska ge Mark ditt meddelande när jag ser honom.,,,
762,Beginner,5. Daily Routines,You will pass the test if you practice daily.,"Her gün pratik yaparsan, sınavı geçersin.",Du kommer att klara provet om du övar dagligen.,,,
763,Beginner,5. Daily Routines,They will not finish the report if the computer breaks.,Bilgisayar bozulursa raporu bitirmeyecekler.,De kommer inte att slutföra rapporten om datorn går sönder.,,,
764,Beginner,5. Daily Routines,I will not sleep if I drink this coffee now.,Şimdi bu kahveyi içersem uyumam.,Jag kommer inte att sova om jag dricker det här kaffet nu.,,,
765,Beginner,5. Daily Routines,She will see a doctor if her arm hurts.,Kolu ağrırsa doktora gidecek.,Hon kommer att träffa en läkare om hennes arm gör ont.,,,
766,Beginner,5. Daily Routines,We will finish by noon if we start now.,Şimdi başlarsak öğlene kadar bitiririz.,Vi blir klara senast klockan tolv om vi börjar nu.,,,
767,Beginner,5. Daily Routines,She will not sign if she dislikes the terms.,Şartları beğenmezse imzalamayacak.,Hon kommer inte att skriva under om hon ogillar villkoren.,,,
768,Beginner,5. Daily Routines,Will they help us move if we ask them?,Onlardan istersek bize taşınmamızda yardım ederler mi?,Kommer de att hjälpa oss att flytta om vi frågar dem?,,,
769,Beginner,5. Daily Routines,I will cook a special dinner if he cleans.,O temizlerse özel bir akşam yemeği pişireceğim.,Jag lagar en speciell middag om han städar.,,,
770,Beginner,5. Daily Routines,Are you sure you want to stay home while I shop?,Ben alışveriş yaparken evde kalmak istediğinden emin misin?,Är du säker på att du vill stanna hemma medan jag handlar?,,,
771,Beginner,5. Daily Routines,"In your place, I would definitely check the weather first.","Senin yerinde olsam, önce kesinlikle havayı kontrol ederdim.",I ditt ställe skulle jag definitivt kolla vädret först.,,,
772,Beginner,5. Daily Routines,Make sure your homework is done before the movie starts.,Film başlamadan önce ödevinin yapıldığından emin ol.,Se till att dina läxor är gjorda innan filmen börjar.,,,
773,Beginner,5. Daily Routines,"Personally, I would not spend that much money on a phone.","Şahsen, bir telefona o kadar para harcamazdım.",Personligen skulle jag inte spendera så mycket pengar på en telefon.,,,
774,Beginner,5. Daily Routines,You will likely need to pay before they cut the power.,Elektriği kesmeden önce muhtemelen ödeme yapmanız gerekecek.,Du kommer förmodligen att behöva betala innan de stänger av strömmen.,,,
775,Beginner,5. Daily Routines,Please keep your voice down while in the library.,Kütüphanedeyken lütfen sesinizi alçaltın.,Var vänlig och sänk rösten på biblioteket.,,,
776,Beginner,5. Daily Routines,Wash your hands properly before you sit down to eat.,Yemek yemeye oturmadan önce ellerinizi iyice yıkayın.,Tvätta händerna ordentligt innan du sätter dig för att äta.,,,
777,Beginner,5. Daily Routines,That hole in the roof needs fixing before it rains.,Çatıdaki o deliğin yağmur yağmadan önce tamir edilmesi gerekiyor.,Det hålet i taket behöver lagas innan det regnar.,,,
778,Beginner,5. Daily Routines,Pay close attention to all the safety instructions.,Tüm güvenlik talimatlarına dikkatle riayet edin.,Beakta noga alla säkerhetsinstruktioner.,,,
779,Beginner,5. Daily Routines,Comfortable shoes will make the long walk much easier.,Rahat ayakkabılar uzun yürüyüşü çok daha kolaylaştıracak.,Bekväma skor kommer att göra den långa promenaden mycket lättare.,,,
780,Beginner,5. Daily Routines,Remember to turn off the oven before leaving the house.,Evden çıkmadan önce fırını kapatmayı unutma.,Kom ihåg att stänga av ugnen innan du lämnar huset.,,,
781,Beginner,5. Daily Routines,He would rather play football than watch it on TV.,"O, televizyonda izlemektense futbol oynamayı tercih eder.",Han skulle hellre spela fotboll än titta på det på TV.,,,
782,Beginner,5. Daily Routines,I would choose a walk over sitting at the computer.,Bilgisayar başında oturmaktansa yürüyüş yapmayı tercih ederdim.,Jag skulle välja en promenad framför att sitta vid datorn.,,,
783,Beginner,5. Daily Routines,The library is my first choice for silent study.,Sessiz çalışma için ilk tercihim kütüphanedir.,Biblioteket är mitt förstahandsval för tysta studier.,,,
784,Beginner,5. Daily Routines,I will wait for the bus rather than pay for a taxi.,Taksiye para ödemektense otobüsü bekleyeceğim.,Jag väntar hellre på bussen än att betala för en taxi.,,,
785,Beginner,5. Daily Routines,I would sit in the shade rather than in the sun.,Güneşte oturmaktansa gölgede otururdum.,Jag skulle sitta i skuggan hellre än i solen.,,,
786,Beginner,5. Daily Routines,We would go to a play before choosing a concert.,Konser seçmeden önce tiyatroya giderdik.,Vi skulle gå på en pjäs innan vi valde en konsert.,,,
787,Beginner,5. Daily Routines,I could not check messages because the internet was down.,Mesajları kontrol edemedim çünkü internet kesikti.,Jag kunde inte kolla meddelanden eftersom internet låg nere.,,,
788,Beginner,5. Daily Routines,"After months of practice, he finally moved into leadership.","Aylarca süren pratikten sonra, sonunda liderliğe geçti.",Efter månaders träning klev han slutligen in i ledarskapet.,,,
789,Beginner,5. Daily Routines,We will just have to wait and see what happens.,Bekleyip ne olacağını göreceğiz.,Vi får helt enkelt vänta och se vad som händer.,,,
790,Beginner,5. Daily Routines,The front desk keeps track of all lost items.,Resepsiyon tüm kayıp eşyaların kaydını tutar.,Receptionen håller reda på alla borttappade föremål.,,,
791,Beginner,5. Daily Routines,He made it clear he disliked the new website design.,Yeni web sitesi tasarımını beğenmediğini açıkça belirtti.,Han gjorde det tydligt att han ogillade den nya webbplatsdesignen.,,,
792,Beginner,5. Daily Routines,The chef said the special uses local ingredients.,"Şef, spesiyalin yerel malzemeler kullandığını söyledi.",Kocken sa att dagens special använder lokala råvaror.,,,
793,Beginner,5. Daily Routines,They told us they would wait at the station.,Bize istasyonda bekleyeceklerini söylediler.,De sa till oss att de skulle vänta på stationen.,,,
794,Beginner,5. Daily Routines,The receptionist said the doctor would see me shortly.,Resepsiyonist doktorun benimle az sonra görüşeceğini söyledi.,Receptionisten sa att läkaren skulle träffa mig strax.,,,
795,Beginner,5. Daily Routines,She shared her plans to visit Japan next summer.,Gelecek yaz Japonya'yı ziyaret etme planlarını paylaştı.,Hon delade med sig av sina planer att besöka Japan nästa sommar.,,,
796,Beginner,5. Daily Routines,She said she lacked enough time to finish the task.,Görevi bitirmek için yeterli zamanı olmadığını söyledi.,Hon sa att hon saknade tillräckligt med tid för att slutföra uppgiften.,,,
797,Beginner,5. Daily Routines,He explained that his phone battery had run out.,Telefonunun pilinin bittiğini açıkladı.,Han förklarade att hans mobilbatteri hade tagit slut.,,,
798,Beginner,5. Daily Routines,"I see your point, but I am not convinced.","Noktanızı anlıyorum, ama ikna olmadım.","Jag förstår din poäng, men jag är inte övertygad.",,,
799,Beginner,5. Daily Routines,"I understand, but I see the situation differently.","Anlıyorum, ama durumu farklı görüyorum.","Jag förstår, men jag ser situationen annorlunda.",,,
800,Beginner,5. Daily Routines,I need a bit more time to think about this.,Bunu düşünmek için biraz daha zamana ihtiyacım var.,Jag behöver lite mer tid att tänka på det här.,,,
801,Beginner,5. Daily Routines,We may need to reach a compromise on this issue.,Bu konuda bir uzlaşmaya varmamız gerekebilir.,Vi kan behöva nå en kompromiss i denna fråga.,,,
802,Beginner,5. Daily Routines,"By the time you read this, I will have left.","Sen bunu okuyana kadar, ben gitmiş olacağım.","När du läser det här, kommer jag att ha åkt.",,,
803,Beginner,5. Daily Routines,I will not be using my phone while I am driving.,Araba sürerken telefonumu kullanmayacağım.,Jag kommer inte att använda min telefon medan jag kör.,,,
804,Beginner,5. Daily Routines,He will forget his password unless he writes it down.,Şifresini yazmazsa unutacak.,Han kommer att glömma sitt lösenord om han inte skriver ner det.,,,
805,Beginner,5. Daily Routines,You will feel better tomorrow if you sleep tonight.,Bu gece uyursan yarın daha iyi hissedeceksin.,Du mår bättre imorgon om du sover i natt.,,,
806,Beginner,5. Daily Routines,I will not know the answer until I check figures.,Rakamları kontrol edene kadar cevabı bilmeyeceğim.,Jag kommer inte att veta svaret förrän jag kontrollerar siffrorna.,,,
807,Beginner,5. Daily Routines,We will run out of coffee before the afternoon break.,Öğleden sonraki moladan önce kahvemiz biter.,Vi kommer att få slut på kaffe innan eftermiddagsrasten.,,,
808,Beginner,5. Daily Routines,All the good seats will be taken before it starts.,Tüm iyi koltuklar başlamadan önce kapılmış olacak.,Alla bra platser kommer att vara upptagna innan det börjar.,,,
809,Beginner,5. Daily Routines,"If you keep refreshing, the page will not load faster.","Yenilemeye devam ederseniz, sayfa daha hızlı yüklenmez.",Om du fortsätter att uppdatera kommer sidan inte att laddas snabbare.,,,
810,Beginner,5. Daily Routines,You will understand the instructions once you see an example.,No text was provided for translation. Please provide the English text you would like me to translate.,HTTP 200: Unexpected response,,,
811,Beginner,5. Daily Routines,"If the lift breaks again, we will use the stairs.","Asansör tekrar bozulursa, merdivenleri kullanırız.","Om hissen går sönder igen, kommer vi att ta trapporna.",,,
812,Beginner,5. Daily Routines,I will send you the address once I confirm it.,Onayladıktan sonra sana adresi göndereceğim.,Jag skickar dig adressen när jag har bekräftat den.,,,
813,Beginner,5. Daily Routines,A research station might sit beneath the Antarctic ice.,Bir araştırma istasyonu Antarktika buzunun altında bulunabilir.,En forskningsstation kan ligga under den antarktiska isen.,,,
814,Beginner,5. Daily Routines,Internet access will likely reach even the most isolated regions.,İnternet erişimi büyük olasılıkla en ücra bölgelere bile ulaşacak.,Internettillgången kommer sannolikt att nå även de mest isolerade regionerna.,,,
815,Beginner,5. Daily Routines,Each phone is tested before shipping to the customer.,"Her telefon, müşteriye gönderilmeden önce test edilir.",Varje telefon testas före leverans till kunden.,,,
816,Beginner,5. Daily Routines,Data is backed up every night.,Veriler her gece yedeklenir.,Data säkerhetskopieras varje natt.,,,
817,Beginner,5. Daily Routines,Billions watch the Olympic Games.,Milyarlar Olimpiyatları izliyor.,Miljarder tittar på de olympiska spelen.,,,
818,Beginner,5. Daily Routines,The coordinates were engraved on the back of the watch.,Koordinatlar saatin arkasına kazınmıştı.,Koordinaterna var ingraverade på klockans baksida.,,,
